student_code,gpa,failed_subjects,credits_completed,attendance_rate,login_count,assignment_submitted,assignment_missing,forum_posts,video_views,learning_hours,academic_score,attendance_score,engagement_score,dropout_risk
SV1000,6.96,1,72,90.95,26,10,0,1,24,8.0,0.7571999999999999,0.9095,0.6812638105073764,0
SV1001,4.94,2,90,75.57,19,12,3,2,32,0.0,0.5858,0.7556999999999999,0.6085809013197037,1
SV1002,7.63,1,133,67.95,19,12,4,6,18,18.4,0.8041,0.6795,0.5794899912997313,1
SV1003,7.91,0,107,95.03,31,8,0,3,26,9.1,0.8536999999999999,0.9503,0.7481152383195088,0
SV1004,3.57,2,39,89.61,23,11,0,5,28,19.0,0.4899,0.8961,0.7356983990184455,0
SV1005,4.55,0,84,53.91,27,6,5,4,26,14.1,0.6184999999999999,0.5390999999999999,0.555543205755751,0
SV1006,6.69,1,140,73.3,20,10,0,2,19,19.2,0.7383,0.733,0.6355875357319943,0
SV1007,6.03,0,84,80.48,30,9,0,1,29,16.8,0.7221,0.8048000000000001,0.7283813215812318,0
SV1008,6.47,0,36,89.68,23,6,2,5,28,0.0,0.7528999999999999,0.8968,0.6356983978820832,0
SV1009,5.22,0,140,91.65,34,10,0,2,31,15.7,0.6654,0.9165000000000001,0.7754988406142223,0
SV1010,7.82,0,110,82.26,28,7,4,3,29,9.9,0.8473999999999999,0.8226,0.5980044005702433,0
SV1011,7.67,1,88,86.78,32,12,0,4,34,19.0,0.8069,0.8678,0.8042128137469451,0
SV1012,6.6,1,79,78.96,26,8,3,6,28,15.5,0.732,0.7896,0.6585365447222515,1
SV1013,8.19,0,122,67.89,21,14,2,4,24,15.6,0.8733,0.6789000000000001,0.641685111688013,0
SV1014,7.2,1,74,74.08,29,12,4,7,26,10.4,0.774,0.7408,0.6904655975025034,0
SV1015,5.21,0,124,78.28,20,11,0,2,29,6.5,0.6647,0.7828,0.681042083789845,0
SV1016,7.05,0,106,77.48,25,6,0,7,28,9.4,0.7934999999999999,0.7748,0.7751662151625891,0
SV1017,5.06,2,97,49.72,12,12,5,3,24,1.2,0.5942,0.4972,0.5055236482917934,1
SV1018,7.82,0,94,72.04,30,9,1,5,32,8.5,0.8473999999999999,0.7204,0.7565631429388985,1
SV1019,6.43,1,85,78.84,31,7,2,5,32,3.2,0.7201,0.7884,0.7137718163089973,1
SV1020,6.22,1,121,73.78,25,6,2,4,30,3.4,0.7054,0.7378,0.643348066023464,0
SV1021,5.48,0,64,74.3,25,5,0,4,32,12.7,0.6836,0.743,0.7524389324077727,0
SV1022,8.33,0,41,85.32,33,8,0,2,32,15.2,0.8831,0.8532,0.7739467242294844,0
SV1023,6.27,0,108,61.82,28,9,5,3,32,11.8,0.7388999999999999,0.6182,0.6142381712672402,0
SV1024,5.86,0,109,53.58,24,10,3,3,25,9.0,0.7101999999999999,0.5357999999999999,0.6085791921128029,0
SV1025,5.97,1,104,72.78,23,7,1,2,24,6.3,0.6879,0.7278,0.6266074866734059,1
SV1026,7.3,0,102,89.46,23,4,3,4,26,10.1,0.8109999999999999,0.8946,0.5415425600194587,0
SV1027,7.05,0,80,,31,11,0,4,32,7.1,0.7934999999999999,1.0,0.7890243410054563,0
SV1028,7.12,0,114,89.73,19,6,4,5,18,11.6,0.7984,0.8973,0.5058536236530382,0
SV1029,7.15,0,89,55.98,22,13,6,4,28,2.9,0.8005,0.5598,0.5896487082803799,1
SV1030,9.71,0,75,74.51,24,18,3,7,31,16.2,0.9797,0.7451000000000001,0.7255622108594153,0
SV1031,5.89,1,81,81.85,27,9,2,4,22,8.6,0.6822999999999999,0.8184999999999999,0.6464522871607106,0
SV1032,5.73,0,140,80.66,29,7,0,5,24,14.3,0.7011000000000001,0.8066,0.754101925431967,1
SV1033,5.28,0,38,86.09,25,9,4,4,28,17.3,0.6696,0.8609,0.6111802502604651,0
